data_indicator,name,format,size,encoding,organization,base_url,data_url,sheet,lang
A1,medizinisch_technische_infrastruktur,px,,,bfs,,,px-x-1404010100_101,de
A2,energieeinsatzkonten_haushalte_und_wirtschaft,px,,,bfs,,,px-x-0204000000_106,de
A3,treibhausgasemission_in_mio_tonnen,xlsx,,,bfs,https://dam-api.bfs.admin.ch/hub/api/dam/assets/,ind-d-21.02.30.1202.02.01,data,en
A4,energiebilanz_schweiz_in_tera_joule,csv,,,opendata,https://www.uvek-gis.admin.ch/,BFE/ogd/115/ogd115_gest_bilanz.csv,,de
A5,ahv_renten_nach_wohnsitz_und_staatsangehoerigkeit,px,,,bfs,,,px-x-1305000000_101,de
A6,abstimmungsvorlagen_seit_1971,px,,,bfs,,,px-x-1703010000_103,de
A7,arztpraxen_ambulante_zentren,px,,,bfs,,,px-x-1404050000_103,de
A8,nationalratswahlen,px,,,bfs,,,px-x-1702020000_104,de
A9,bauausgaben,px,,,bfs,,,px-x-0904010000_202,de
A10,straftaten_aufklaerung,px,,UTF-8,bfs,,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-1903020100_101,px-x-1903020100_101,de
A11,grenzgaenger_statistik,px,large,UTF-8,bfs,,,px-x-0302010000_101,de
A12,neu_erstellte_wohnungen,px,,,bfs,,,px-x-0904030000_107,de
S1,median_strompreis_per_kanton,rdf,,,lindas,https://energy.ld.admin.ch/query,https://energy.ld.admin.ch/elcom/electricityprice-canton,https://energy.ld.admin.ch/sparql/#query=PREFIX%20rdf%3A%20%3Chttp%3A%2F%2Fwww.w3.org%2F1999%2F02%2F22-rdf-syntax-ns%23%3E%0APREFIX%20rdfs%3A%20%3Chttp%3A%2F%2Fwww.w3.org%2F2000%2F01%2Frdf-schema%23%3E%0APREFIX%20cube%3A%20%3Chttps%3A%2F%2Fcube.link%2F%3E%0APREFIX%20dim%3A%20%3Chttps%3A%2F%2Fenergy.ld.admin.ch%2Felcom%2Felectricityprice%2Fdimension%2F%3E%0APREFIX%20schema%3A%20%3Chttp%3A%2F%2Fschema.org%2F%3E%0A%0A%23%20Median%20elecricity%20price%20per%20canton%0A%0ASELECT%20%3Fcanton%20%3Fperiod%20%3Fcategory%20%3Fproduct%20%3Ftotal%0AWHERE%20%7B%0A%20%20%3Chttps%3A%2F%2Fenergy.ld.admin.ch%2Felcom%2Felectricityprice-canton%3E%20cube%3AobservationSet%20%3FobsSet%20.%0A%20%20%3FobsSet%20cube%3Aobservation%20%3Fobs%20.%0A%20%20%3Fobs%20dim%3Acanton%20%5B%20schema%3Aname%20%3Fcanton%20%5D%20%3B%0A%20%20%20%20%20%20%20dim%3Aperiod%20%3Fperiod%20%3B%0A%20%20%20%20%20%20%20dim%3Aproduct%20%5B%20schema%3Aname%20%3Fproduct%20%5D%20%3B%0A%20%20%20%20%20%20%20dim%3Acategory%20%5B%20schema%3Adescription%20%3Fcategory%20%5D%20%3B%0A%20%20%20%20%20%20%20dim%3Atotal%20%3Ftotal%20%20.%0A%20%20FILTER(LANG(%3Fcanton)%20%3D%20%22de%22)%0A%20%20FILTER(LANG(%3Fproduct)%20%3D%20%22de%22)%0A%20%20FILTER(LANG(%3Fcategory)%20%3D%20%22de%22)%0A%7D&endpoint=https%3A%2F%2Fculture.ld.admin.ch%2Fquery&requestMethod=POST&tabTitle=Query&headers=%7B%7D&contentTypeConstruct=application%2Fn-triples%2C*%2F*%3Bq%3D0.9&contentTypeSelect=application%2Fsparql-results%2Bjson%2C*%2F*%3Bq%3D0.9&outputFormat=table&outputSettings=%7B%22compact%22%3Afalse%7D,de
A13,pflanzungen_schweiz,px,,,bfs,,,px-x-0703030000_112,de
S3,staatsausgaben_nach_aufgabenbereichen_cofog,rdf,,,lindas,https://environment.ld.admin.ch/query,https://environment.ld.admin.ch/foen/BFS_cofog_national/1,https://lindas.admin.ch/sparql#query=PREFIX%20schema%3A%20%3Chttp%3A%2F%2Fschema.org%2F%3E%0APREFIX%20cofog%3A%20%3Chttps%3A%2F%2Fenvironment.ld.admin.ch%2Ffoen%2FBFS_cofog_national%2F%3E%0APREFIX%20cube%3A%20%3Chttps%3A%2F%2Fcube.link%2F%3E%0A%0A%0ASELECT%20%3Fperiod%20%3Fcofog%20%3Fsector%20%3Fmio_chf_expenditure%20%3Fpercent_total_expenditure%20WHERE%20%7B%0A%0A%20%20cofog%3A1%20cube%3AobservationSet%20%3FobservationSet0%20.%0A%20%20%3FobservationSet0%20cube%3Aobservation%20%3Fsource0%20.%0A%20%20%3Fsource0%20cofog%3Acofog%20%5B%20schema%3Aname%20%3Fcofog%20%5D%20.%0A%20%20%3Fsource0%20cofog%3Aperiod%20%3Fperiod%20.%0A%20%20%3Fsource0%20cofog%3Ain-pct%20%3Fpercent_total_expenditure%20.%0A%20%20%3Fsource0%20cofog%3Ain-mio-chf%20%3Fmio_chf_expenditure%20.%0A%20%20%3Fsource0%20cofog%3Asector%20%5B%20schema%3Aname%20%3Fsector%20%5D%20.%0A%20%20%0A%20%20FILTER(LANG(%3Fsector)%20%3D%20%22de%22)%0A%20%20FILTER(LANG(%3Fcofog)%20%3D%20%22de%22)%0A%7D%0A&endpoint=https%3A%2F%2Flindas.admin.ch%2Fquery&requestMethod=POST&tabTitle=Query&headers=%7B%7D&contentTypeConstruct=application%2Fn-triples%2C*%2F*%3Bq%3D0.9&contentTypeSelect=application%2Fsparql-results%2Bjson%2C*%2F*%3Bq%3D0.9&outputFormat=table,de
A14,tourism_economy_by_canton,px,,,bfs,,,px-x-1002020000_101,en
A15,employees_farmholdings_agricultural_area_livestock_per_canton,px,large,latin1,bfs,,,px-x-0702000000_101,en
A16,demographic_balance_by_canton,px,,,bfs,,,px-x-0102020000_101,en
A17,volksabstimmung_nach_kanton_seit_1861,px,,,bfs,,,px-x-1703030000_100,de
