"jahr";"aufgabenbereich_cofog_gruppen";"aufgabenbereich_cofog_teilung";"institutioneller_sektor";"ausgaben_in_mio_chf";"prozent_der_gesamtausgaben";"spatialunit_uid"
"1995";"Wirtschaftliche Angelegenheiten n.a.g.";"Wirtschaftliche Angelegenheiten";"Gemeinden";"32";"0.1";"0_CH"
"1998";"Spitaldienste";"Gesundheitswesen";"Staat";"5241";"3.5";"0_CH"
"2004";"F-E im Bereich der öffentlichen Ordnung und Sicherheit";"Öffentliche Ordnung und Sicherheit";"Bund";"0";"0";"0_CH"
"2009";"Soziale Hilfe n.a.g.";"Sozialschutz";"Bund";"853";"1.4";"0_CH"
"2000";"Religion und andere Gemeinschaftsdienste";"Freizeitgestaltung, Sport, Kultur und Religion";"Gemeinden";"45";"0.1";"0_CH"
"2016";"Wohnungswesen und öffentliche Einrichtungen n.a.g.";"Wohnungswesen und öffentliche Einrichtungen";"Kantone";"0";"0";"0_CH"
"1995";"Abwasserentsorgung";"Umweltschutz";"Gemeinden";"1669";"5";"0_CH"
"2007";"Abfallbeseitigung";"Umweltschutz";"Bund";"14";"0";"0_CH"
"1995";"Abwasserentsorgung";"Umweltschutz";"Kantone";"526";"1.1";"0_CH"
"2003";"F-E im Bereich des Gesundheitswesens";"Gesundheitswesen";"Kantone";"0";"0";"0_CH"
"2003";"Wirtschaft und Handel";"Wirtschaftliche Angelegenheiten";"Gemeinden";"22";"0.1";"0_CH"
"2014";"Feuerwehr";"Öffentliche Ordnung und Sicherheit";"Staat";"790";"0.4";"0_CH"
"2002";"F-E im Bereich der Verteidigung";"Verteidigung";"Staat";"5";"0";"0_CH"
"2018";"Militärische Verteidigung";"Verteidigung";"Bund";"4707";"6.4";"0_CH"
"2015";"Tertiärstufe";"Bildungswesen";"Staat";"8430";"3.8";"0_CH"
"1997";"Erhaltung der Artenvielfalt und Landschaftsschutz";"Umweltschutz";"Bund";"49";"0.1";"0_CH"
"2003";"Abwasserentsorgung";"Umweltschutz";"Staat";"1919";"1.2";"0_CH"
"2014";"F-E im Bereich des Gesundheitswesens";"Gesundheitswesen";"Bund";"70";"0.1";"0_CH"
"2011";"Allgemeine öffentliche Verwaltung n.a.g.";"Allgemeine öffentliche Verwaltung";"Kantone";"0";"0";"0_CH"
"2017";"Verkehr";"Wirtschaftliche Angelegenheiten";"Öffentliche Sozialversicherungen";"0";"0";"0_CH"
"2012";"Alter";"Sozialschutz";"Bund";"10422";"15.6";"0_CH"
"2005";"Soziale Hilfe n.a.g.";"Sozialschutz";"Kantone";"2463";"3.7";"0_CH"
"2013";"Rundfunk- und Verlagswesen";"Freizeitgestaltung, Sport, Kultur und Religion";"Bund";"1371";"2";"0_CH"
"1995";"Erhaltung der Artenvielfalt und Landschaftsschutz";"Umweltschutz";"Kantone";"63";"0.1";"0_CH"
"2000";"F-E im Bereich der Verteidigung";"Verteidigung";"Staat";"5";"0";"0_CH"
"2007";"F-E im Bereich des Sozialschutzes";"Sozialschutz";"Gemeinden";"0";"0";"0_CH"
"1999";"F-E im Bereich der Verteidigung";"Verteidigung";"Bund";"5";"0";"0_CH"
"2000";"Militärische Hilfe im Ausland";"Verteidigung";"Öffentliche Sozialversicherungen";"0";"0";"0_CH"
"2004";"Militärische Verteidigung";"Verteidigung";"Kantone";"149";"0.2";"0_CH"
"2012";"Öffentliche Gesundheit";"Gesundheitswesen";"Gemeinden";"218";"0.5";"0_CH"
"2021";"Allgemeine Dienste";"Allgemeine öffentliche Verwaltung";"Gemeinden";"4435";"8.2";"0_CH"
"2015";"Landwirtschaft, Forstwirtschaft, Fischerei und Jagd";"Wirtschaftliche Angelegenheiten";"Kantone";"3586";"4";"0_CH"
"2005";"Hinterlassene";"Sozialschutz";"Öffentliche Sozialversicherungen";"1665";"3.3";"0_CH"
"2020";"Zivile Verteidigung";"Verteidigung";"Bund";"152";"0.2";"0_CH"
"2014";"Schulden- und Zinsendienst";"Allgemeine öffentliche Verwaltung";"Staat";"4104";"1.9";"0_CH"
"2021";"Zivile Verteidigung";"Verteidigung";"Bund";"138";"0.1";"0_CH"
"2012";"F-E im Bereich des Bildungswesens";"Bildungswesen";"Staat";"413";"0.2";"0_CH"
"2015";"Wirtschaftliche Auslandhilfe";"Allgemeine öffentliche Verwaltung";"Bund";"3064";"4.3";"0_CH"
"2014";"Grundlagenforschung";"Allgemeine öffentliche Verwaltung";"Kantone";"4797";"5.5";"0_CH"
"2000";"Umweltschutz n.a.g.";"Umweltschutz";"Gemeinden";"48";"0.1";"0_CH"
