"year";"function_cofog_narrow";"function_cofog_broad";"institutional_sector";"expenses_in_million_chf";"percentage_of_total_expenses";"spatialunit_uid"
"2007";"R&D Public order and safety";"Public order and safety";"Commune";"0";"0";"0_CH"
"2001";"Protection of biodiversity and landscape";"Environmental protection";"Canton";"109";"0.2";"0_CH"
"2010";"Post-secondary non-tertiary education";"Education";"Confederation";"0";"0";"0_CH"
"2021";"Family and children";"Social protection";"Commune";"1716";"3.2";"0_CH"
"1998";"Mining, manufacturing and construction";"Economic affairs";"Commune";"0";"0";"0_CH"
"2021";"Environmental protection n.e.c.";"Environmental protection";"Social security funds";"0";"0";"0_CH"
"2003";"Pollution abatement";"Environmental protection";"Commune";"0";"0";"0_CH"
"2003";"Waste management";"Environmental protection";"Government";"1090";"0.7";"0_CH"
"2007";"Defence n.e.c.";"Defence";"Confederation";"0";"0";"0_CH"
"2018";"R&D Education";"Education";"Social security funds";"0";"0";"0_CH"
"2014";"Economic affairs n.e.c.";"Economic affairs";"Commune";"32";"0.1";"0_CH"
"2001";"Public health services";"Health";"Social security funds";"0";"0";"0_CH"
"1998";"Community development";"Housing and community amenities";"Commune";"207";"0.6";"0_CH"
"1995";"Old age";"Social protection";"Canton";"2640";"5.4";"0_CH"
"2020";"Fire-protection services";"Public order and safety";"Commune";"775";"1.5";"0_CH"
"2009";"Post-secondary non-tertiary education";"Education";"Government";"0";"0";"0_CH"
"2018";"Education n.e.c.";"Education";"Social security funds";"0";"0";"0_CH"
"2003";"Unemployment";"Social protection";"Social security funds";"6435";"13.3";"0_CH"
"2010";"Pre-primary and primary education";"Education";"Commune";"3597";"8.2";"0_CH"
"2007";"Medical products, appliances and equipment";"Health";"Social security funds";"0";"0";"0_CH"
"2019";"Housing development";"Housing and community amenities";"Confederation";"0";"0";"0_CH"
"2021";"Housing and community amenities n.e.c.";"Housing and community amenities";"Confederation";"0";"0";"0_CH"
"2009";"R&D Public order and safety";"Public order and safety";"Confederation";"1";"0";"0_CH"
"2017";"Executive and legislative organs, financial and fiscal affairs, external affairs";"General public services";"Government";"5931";"2.6";"0_CH"
"2016";"Agriculture, forestry, fishing and hunting";"Economic affairs";"Canton";"3575";"4";"0_CH"
"2018";"General economic, commercial and labour affairs";"Economic affairs";"Confederation";"311";"0.4";"0_CH"
"2009";"Recreational and sporting services";"Recreation, culture and religion";"Social security funds";"0";"0";"0_CH"
"2001";"R&D Public order and safety";"Public order and safety";"Confederation";"0";"0";"0_CH"
"2004";"General economic, commercial and labour affairs";"Economic affairs";"Commune";"20";"0.1";"0_CH"
"2000";"R&D Recreation, culture and religion";"Recreation, culture and religion";"Social security funds";"0";"0";"0_CH"
"2002";"Civil defence";"Defence";"Social security funds";"0";"0";"0_CH"
"2005";"Street lighting";"Housing and community amenities";"Social security funds";"0";"0";"0_CH"
"2003";"Basic research";"General public services";"Canton";"1507";"2.3";"0_CH"
"2002";"Police services";"Public order and safety";"Social security funds";"0";"0";"0_CH"
"2014";"General services";"General public services";"Canton";"3162";"3.6";"0_CH"
"2020";"Foreign economic aid";"General public services";"Canton";"3";"0";"0_CH"
"2006";"Sickness and disability";"Social protection";"Social security funds";"11418";"22.6";"0_CH"
"2006";"Social protection n.e.c.";"Social protection";"Canton";"15";"0";"0_CH"
"1997";"Environmental protection n.e.c.";"Environmental protection";"Social security funds";"0";"0";"0_CH"
"2003";"R&D Public order and safety";"Public order and safety";"Commune";"0";"0";"0_CH"
